name,concept,quantity,date,account,category,envelope,tags,notes,anomalous,template,group
April salary,NOMINA ABRIL,2200.00,2026-04-28,Default,Salary,Savings,frequency/Recurring,,false,,
April rent,ALQUILER ABR,-800.00,2026-04-01,Default,Housing,Monthly Expenses,frequency/Recurring|priority/Urgent,,false,,
Grocery run,MERCADONA,-67.00,2026-04-04,Default,Food,Monthly Expenses,frequency/Recurring,,false,,
Bus monthly pass,,-40.00,2026-04-02,Default,Transport,Monthly Expenses,frequency/Recurring,,false,,
Cinema tickets,CINESA,-22.00,2026-04-12,Default,Entertainment,Monthly Expenses,frequency/One-time,,false,,
Pharmacy,,-18.00,2026-04-15,Default,Health,Monthly Expenses,frequency/One-time,Ibuprofen and vitamins,false,,
May salary,NOMINA MAYO,2200.00,2026-05-28,Default,Salary,Savings,frequency/Recurring,,false,,
May rent,ALQUILER MAY,-800.00,2026-05-01,Default,Housing,Monthly Expenses,frequency/Recurring|priority/Urgent,,false,,
Grocery run,MERCADONA,-54.00,2026-05-06,Default,Food,Monthly Expenses,frequency/Recurring,,false,,
Freelance payment,,350.00,2026-05-10,Default,Salary,Unassigned,frequency/One-time,Logo design project,false,,
Monthly salary,NOMINA,2200.00,2026-06-28,Default,Salary,Monthly Expenses:500.00|Savings:1700.00,frequency/Recurring,,false,Monthly salary,
Karate fee,Karate fee,-45.00,2026-06-05,Default,Health,Monthly Expenses,frequency/Recurring,Dojo monthly fee,false,Karate fee,
Karate fee,Karate fee,-45.00,2026-07-05,Default,Health,Monthly Expenses,frequency/Recurring,Dojo monthly fee,false,Karate fee,
